id	condition	cond2	tradhyp	controltrans	honesthyp	disclosurehyp	likemu_1	likejd_1	likepc_1	likepd_1	like	goodmu_1	goodjd_1	goodpc_1	goodpd_1	good	trustmu_1	trustjd_1	trustpc_1	trustpd_1	trust	honestmu_1	honestjd_1	honestpc_1	honestpd_1	honest	hypmu_1	hypjd_1	hyppc_1	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
375	disclosurehyp	4	0	0	0	1	21	50			35.5	50	50			50	49	50			49.5	12	17			14.5	100	92			96	37.375	37	2	5	5	4	2
376	controltrans	3	0	1	0	0		50	41		45.5		43	27		35		36	33		34.5		38	33		35.5		59	35		47	37.625	20	1	2	2	5	3
377	disclosurehyp	4	0	0	0	1		32	22		27		34	23		28.5		33	24		28.5		33	13		23		71	78		74.5	26.75	62	2	4	5	6	1
378	disclosurehyp	4	0	0	0	1			13	14	13.5			10	21	15.5			14	12	13			14	14	14			89	83	86	14	31	1	5	5	3	2
379	controltrans	3	0	1	0	0			53	41	47			54	58	56			55	58	56.5			34	35	34.5			51	29	40	48.5	28	1	5	6	7	1
380	honesthyp	2	0	0	1	0		66	56		61		73	59		66		62	50		56		37	55		46		60	59		59.5	57.25	34	2	5	6	5	1
381	controltrans	3	0	1	0	0	3			6	4.5	13			7	10	29			47	38	34			11	22.5	0			0	0	18.75	33	1	5	4	3	2
382	tradhyp	1	1	0	0	0	50			50	50	50			50	50	25			27	26	31			34	32.5	79			72	75.5	39.625	39	1	5	6	5	2
383	controltrans	3	0	1	0	0	37			41	39	63			55	59	59			55	57	46			42	44	18			40	29	49.75	26	1	6	5	6	1
384	controltrans	3	0	1	0	0	46	52			49	53	58			55.5	55	52			53.5	52	52			52	65	71			68	52.5	34	2	4	3	6	3
385	controltrans	3	0	1	0	0	33			42	37.5	15			33	24	14			41	27.5	13			46	29.5	36			45	40.5	29.625	32	2	5	3	2	2
386	tradhyp	1	1	0	0	0			38	44	41			38	44	41			45	53	49			29	31	30			88	89	88.5	40.25	57	2	4	1	5	2
387	honesthyp	2	0	0	1	0		40	53		46.5		46	56		51		44	48		46		53	58		55.5		55	51		53	49.75	36	2	5	9	5	3
388	controltrans	3	0	1	0	0		37	9		23		67	9		38		55	9		32		47	8		27.5		47	85		66	30.125	51	2	5	4	4	3
389	tradhyp	1	1	0	0	0		36	25		30.5		39	21		30		38	25		31.5		39	18		28.5		100	100		100	30.125	36	2	6	7	6	1
390	disclosurehyp	4	0	0	0	1	19	3			11	31	24			27.5	65	36			50.5	66	29			47.5	44	81			62.5	34.125	23	2	4	1	2	2
391	tradhyp	1	1	0	0	0	34			31	32.5	43			31	37	48			21	34.5	36			27	31.5	66			76	71	33.875	39	2	6	9	4	1
392	honesthyp	2	0	0	1	0	42			53	47.5	46			64	55	45			50	47.5	41			60	50.5	34			56	45	50.125	35	2	5	4	5	2
393	disclosurehyp	4	0	0	0	1			58	58	58			58	61	59.5			33	44	38.5			47	44	45.5			80	71	75.5	50.375	29	1	5	6	5	3
394	disclosurehyp	4	0	0	0	1	30	26			28	37	22			29.5	15	12			13.5	25	15			20	85	90			87.5	22.75	50	2	2	6	5	1
395	honesthyp	2	0	0	1	0		60	13		36.5		44	53		48.5		9	44		26.5		27	82		54.5		98	92		95	41.5	57	2	4	4	6	2
396	honesthyp	2	0	0	1	0	30			38	34	37			50	43.5	33			38	35.5	30			37	33.5	65			39	52	36.625	42	1	5	7	3	3
397	controltrans	3	0	1	0	0	100			35	67.5	67			71	69	63			23	43	69			36	52.5	0			38	19	58	28	1	4	6	5	1
398	disclosurehyp	4	0	0	0	1			18	40	29			19	20	19.5			25	7	16			19	30	24.5			91	88	89.5	22.25	25	2	2	2	4	1
399	disclosurehyp	4	0	0	0	1		0	0		0		0	0		0		0	0		0		0	1		0.5		0	100		50	0.125	47	2	4	9	7	1
400	tradhyp	1	1	0	0	0	26			17	21.5	47			23	35	13			10	11.5	19			9	14	89			87	88	20.5	22	2	5	9	3	2
401	tradhyp	1	1	0	0	0		25	14		19.5		22	11		16.5		8	12		10		4	0		2		0	0		0	12	20	1	2	1	6	3
402	honesthyp	2	0	0	1	0	51	56			53.5	54	55			54.5	59	56			57.5	61	55			58	40	53			46.5	55.875	73	1	6	5	3	3
403	tradhyp	1	1	0	0	0	50			50	50	50			50	50	16			50	33	19			50	34.5	90			61	75.5	41.875	28	2	5	4	4	1
404	honesthyp	2	0	0	1	0			52	55	53.5			46	50	48			50	50	50			58	75	66.5			52	60	56	54.5	27	2	4	4	4	3
405	tradhyp	1	1	0	0	0	44	41			42.5	45	48			46.5	33	46			39.5	24	43			33.5	69	70			69.5	40.5	21	2	2	1	7	1
406	controltrans	3	0	1	0	0			33	19	26			50	13	31.5			25	15	20			32	19	25.5			79	90	84.5	25.75	23	2	4	4	4	1
407	honesthyp	2	0	0	1	0		54	53		53.5		18	79		48.5		35	26		30.5		65	79		72		90	83		86.5	51.125	22	2	5	4	3	1
408	disclosurehyp	4	0	0	0	1	44	23			33.5	48	36			42	35	47			41	40	19			29.5	86	83			84.5	36.5	45	1	5	8	5	3
409	tradhyp	1	1	0	0	0		0	0		0		0	0		0		0	0		0		0	0		0		100	100		100	0	44	1	4	7	1	1
410	tradhyp	1	1	0	0	0	38			49	43.5	48			48	48	43			48	45.5	4			46	25	76			86	81	40.5	27	2	6	5	6	1
411	tradhyp	1	1	0	0	0	3			2	2.5	36			30	33	3			3	3	2			28	15	100			100	100	13.375	61	2	6	2	6	3
412	disclosurehyp	4	0	0	0	1	32			61	46.5	35			62	48.5	22			59	40.5	31			59	45	98			59	78.5	45.125	30	2	4	6	5	1
413	tradhyp	1	1	0	0	0			15	13	14			10	25	17.5			19	22	20.5			16	13	14.5			0	0	0	16.625	59	1	4	2	1	2
414	honesthyp	2	0	0	1	0	50			50	50	50			50	50	13			25	19	15			9	12	93			72	82.5	32.75	35	1	4	6	4	1
415	tradhyp	1	1	0	0	0			23	23	23			28	15	21.5			39	23	31			31	12	21.5			20	76	48	24.25	34	2	6	7	5	3
416	disclosurehyp	4	0	0	0	1	43			61	52	41			34	37.5	26			37	31.5	27			26	26.5	75			81	78	36.875	67	2	6	8	5	1
417	disclosurehyp	4	0	0	0	1			21	0	10.5			13	12	12.5			10	0	5			9	11	10			98	100	99	9.5	39	1	5	8	5	1
418	honesthyp	2	0	0	1	0		50	25		37.5		50	41		45.5		46	27		36.5		50	24		37		100	100		100	39.125	46	2	4	7	4	3
419	controltrans	3	0	1	0	0			15	23	19			35	17	26			33	37	35			65	31	48			23	78	50.5	32	38	1	6	7	5	3
420	tradhyp	1	1	0	0	0		46	21		33.5		52	33		42.5		20	16		18		35	0		17.5		88	92		90	27.875	34	2	5	6	6	2
421	disclosurehyp	4	0	0	0	1	18			3	10.5	17			18	17.5	16			12	14	16			14	15	83			88	85.5	14.25	31	1	6	10	4	1
422	controltrans	3	0	1	0	0			55	47	51			50	48	49			61	54	57.5			59	46	52.5			44	57	50.5	52.5	29	1	5	9	5	3
423	honesthyp	2	0	0	1	0	44	23			33.5	42	24			33	36	0			18	0	0			0	73	100			86.5	21.125	36	1	5	3	5	3
424	disclosurehyp	4	0	0	0	1	22			49	35.5	35			50	42.5	17			37	27	16			34	25	82			62	72	32.5	29	2	6	3	4	3
425	disclosurehyp	4	0	0	0	1			50	51	50.5			48	50	49			50	50	50			50	48	49			50	50	50	49.625	38	2	5	3	4	1
426	disclosurehyp	4	0	0	0	1	46	51			48.5	45	57			51	42	43			42.5	43	44			43.5	66	69			67.5	46.375	32	1	5	3	6	2
427	tradhyp	1	1	0	0	0			38	28	33			45	40	42.5			36	19	27.5			12	20	16			100	100	100	29.75	25	2	4	6	6	1
428	tradhyp	1	1	0	0	0			22	70	46			19	38	28.5			2	26	14			3	32	17.5			99	100	99.5	26.5	52	2	2	3	5	3
429	tradhyp	1	1	0	0	0		44	45		44.5		43	38		40.5		13	39		26		21	39		30		18	96		57	35.25	49	2	2	6	3	1
430	tradhyp	1	1	0	0	0	64	59			61.5	42	68			55	54	42			48	58	26			42	53	56			54.5	51.625	33	2	5	7	4	4
431	tradhyp	1	1	0	0	0		13	50		31.5		16	50		33		10	41		25.5		3	40		21.5		100	50		75	27.875	31	1	5	7	5	1
432	tradhyp	1	1	0	0	0	21			30	25.5	30			26	28	19			14	16.5	7			21	14	93			92	92.5	21	45	2	6	4	5	1
433	disclosurehyp	4	0	0	0	1	21	45			33	41	44			42.5	27	44			35.5	16	17			16.5	83	94			88.5	31.875	27	2	5	5	6	3
434	controltrans	3	0	1	0	0		80	75		77.5		84	82		83		61	78		69.5		81	76		78.5		6	14		10	77.125	28	1	5	4	7	1
435	controltrans	3	0	1	0	0	9			34	21.5	10			34	22	9			38	23.5	8			35	21.5	83			68	75.5	22.125	72	1	6	6	6	2
436	controltrans	3	0	1	0	0		34	24		29		17	22		19.5		14	8		11		14	11		12.5		30	18		24	18	55	2	4	6	5	1
437	tradhyp	1	1	0	0	0	17			26	21.5	20			32	26	16			33	24.5	0			14	7	100			92	96	19.75	21	1	4	1	4	1
438	honesthyp	2	0	0	1	0	88			70	79	77			72	74.5	81			64	72.5	71			74	72.5	79			65	72	74.625	56	2	2	4	5	4
439	honesthyp	2	0	0	1	0	48	46			47	45	47			46	45	47			46	43	48			45.5	63	52			57.5	46.125	32	2	2	5	4	1
440	controltrans	3	0	1	0	0	35	50			42.5	28	50			39	50	50			50	42	50			46	50	50			50	44.375	43	2	4	8	5	1
441	honesthyp	2	0	0	1	0		47	50		48.5		63	59		61		50	31		40.5		64	30		47		81	88		84.5	49.25	45	2	2	10	6	3
442	tradhyp	1	1	0	0	0			33	17	25			45	26	35.5			21	18	19.5			19	17	18			88	85	86.5	24.5	19	1	2	1	5	1
443	disclosurehyp	4	0	0	0	1	21			6	13.5	38			14	26	23			13	18	29			15	22	86			77	81.5	19.875	52	1	1	5	5	1
444	honesthyp	2	0	0	1	0			52	50	51			52	53	52.5			8	5	6.5			26	34	30			94	91	92.5	35	26	1	4	5	7	1
445	disclosurehyp	4	0	0	0	1	23			26	24.5	34			35	34.5	26			27	26.5	21			32	26.5	83			86	84.5	28	34	1	2	1	1	1
446	controltrans	3	0	1	0	0			50	43	46.5			49	49	49			45	41	43			46	23	34.5			57	59	58	43.25	30	2	5	5	5	1
447	honesthyp	2	0	0	1	0		47	56		51.5		50	56		53		53	47		50		33	45		39		64	53		58.5	48.375	33	2	4	3	4	1
448	disclosurehyp	4	0	0	0	1		32	25		28.5		22	50		36		23	16		19.5		42	21		31.5		76	88		82	28.875	36	2	3	7	3	1
449	honesthyp	2	0	0	1	0	66	26			46	67	63			65	66	60			63	87	84			85.5	21	20			20.5	64.875	46	1	6	6	6	2
450	honesthyp	2	0	0	1	0	28	31			29.5	46	36			41	28	36			32	26	36			31	71	70			70.5	33.375	29	2	6	9	6	2
451	honesthyp	2	0	0	1	0		32	43		37.5		47	41		44		24	31		27.5		37	56		46.5		85	60		72.5	38.875	27	1	2	4	3	1
452	honesthyp	2	0	0	1	0		43	76		59.5		59	77		68		57	79		68		58	76		67		42	33		37.5	65.625	28	2	4	4	5	1
453	disclosurehyp	4	0	0	0	1	69	29			49	48	39			43.5	54	5			29.5	50	10			30	0	100			50	38	31	1	5	4	6	2
454	controltrans	3	0	1	0	0		69	45		57		75	27		51		40	11		25.5		67	3		35		31	88		59.5	42.125	30	1	3	6	6	1
455	honesthyp	2	0	0	1	0			59	45	52			64	49	56.5			58	42	50			57	51	54			59	56	57.5	53.125	31	2	4	5	5	3
456	honesthyp	2	0	0	1	0			17	57	37			27	56	41.5			34	57	45.5			34	63	48.5			10	41	25.5	43.125	60	1	6	9	5	1
457	controltrans	3	0	1	0	0			4	13	8.5			8	35	21.5			3	29	16			1	36	18.5			64	61	62.5	16.125	35	2	5	7	3	1
458	tradhyp	1	1	0	0	0		31	23		27		31	21		26		30	33		31.5		35	30		32.5		97	94		95.5	29.25	63	1	6	10	5	1
459	tradhyp	1	1	0	0	0			24	50	37			50	57	53.5			24	59	41.5			27	50	38.5			90	66	78	42.625	25	2	4	4	6	2
460	tradhyp	1	1	0	0	0			37	38	37.5			37	32	34.5			36	44	40			36	15	25.5			63	62	62.5	34.375	44	2	3	2	5	2
461	disclosurehyp	4	0	0	0	1	39	49			44	41	56			48.5	43	50			46.5	41	70			55.5	41	62			51.5	48.625	34	1	3	7	3	1
462	disclosurehyp	4	0	0	0	1	35			36	35.5	38			39	38.5	15			24	19.5	10			33	21.5	97			85	91	28.75	20	2	4	1	4	2
463	honesthyp	2	0	0	1	0	45			32	38.5	45			42	43.5	26			43	34.5	35			41	38	88			70	79	38.625	21	2	5	2	4	1
464	tradhyp	1	1	0	0	0	60	47			53.5	60	57			58.5	75	71			73	74	38			56	83	83			83	60.25	52	1	5	7	6	4
465	controltrans	3	0	1	0	0		24	30		27		33	30		31.5		24	20		22		20	24		22		30	20		25	25.625	20	2	5	6	4	1
466	disclosurehyp	4	0	0	0	1	46			62	54	24			56	40	15			52	33.5	16			50	33	87			89	88	40.125	50	2	4	6	4	1
467	controltrans	3	0	1	0	0			49	49	49			50	49	49.5			49	36	42.5			48	34	41			48	49	48.5	45.5	24	2	4	4	3	1
468	honesthyp	2	0	0	1	0	38	18			28	46	40			43	40	28			34	42	8			25	50	66			58	32.5	30	2	4	9	2	3
469	controltrans	3	0	1	0	0	54	49			51.5	42	48			45	43	20			31.5	46	29			37.5	47	53			50	41.375	29	1	5	1	4	4
470	tradhyp	1	1	0	0	0			0	0	0			0	0	0			0	0	0			0	0	0			100	100	100	0	26	1	6	1	2	1
471	honesthyp	2	0	0	1	0	50	50			50	50	50			50	50	50			50	50	50			50	50	50			50	50	33	1	4	6	2	2
472	tradhyp	1	1	0	0	0			0	0	0			0	7	3.5			2	3	2.5			1	9	5			100	94	97	2.75	21	2	4	1	2	1
473	controltrans	3	0	1	0	0			92	100	96			92	100	96			85	100	92.5			25	100	62.5			11	100	55.5	86.75	28	1	5	8	4	1
474	disclosurehyp	4	0	0	0	1		34	13		23.5		30	4		17		29	19		24		26	14		20		87	84		85.5	21.125	30	1	5	5	5	1
475	controltrans	3	0	1	0	0	42			50	46	34			51	42.5	50			36	43	33			34	33.5	50			35	42.5	41.25	21	2	4	9	4	1
476	tradhyp	1	1	0	0	0	83			46	64.5	100			43	71.5	32			45	38.5	43			7	25	53			63	58	49.875	21	2	4	2	3	1
477	controltrans	3	0	1	0	0		41	57		49		52	50		51		40	44		42		43	47		45		55	42		48.5	46.75	23	2	5	1	3	2
478	honesthyp	2	0	0	1	0	34			44	39	40			49	44.5	25			46	35.5	30			49	39.5	84			68	76	39.625	40	1	4	6	5	2
479	disclosurehyp	4	0	0	0	1	33			2	17.5	25			30	27.5	15			6	10.5	25			17	21	78			83	80.5	19.125	43	1	5	8	4	1
480	honesthyp	2	0	0	1	0		52	41		46.5		56	36		46		25	3		14		6	8		7		19	79		49	28.375	28	1	4	5	1	1
481	disclosurehyp	4	0	0	0	1	48	53			50.5	45	52			48.5	40	52			46	33	48			40.5	59	53			56	46.375	35	2	5	3	5	1
482	tradhyp	1	1	0	0	0	23	40			31.5	39	49			44	15	24			19.5	13	27			20	97	86			91.5	28.75	36	1	6	7	3	1
483	controltrans	3	0	1	0	0	41			44	42.5	40			43	41.5	30			29	29.5	19			56	37.5	45			62	53.5	37.75	56	2	2	3	7	2
484	tradhyp	1	1	0	0	0	0			0	0	0			0	0	0			0	0	0			0	0	100			100	100	0	22	2	2	5	1	2
485	controltrans	3	0	1	0	0	53	54			53.5	44	55			49.5	36	44			40	22	62			42	67	66			66.5	46.25	36	1	4	7	5	1
486	honesthyp	2	0	0	1	0	76	84			80	66	68			67	75	61			68	58	78			68	62	0			31	70.75	36	1	2	8	4	1
487	tradhyp	1	1	0	0	0	20			25	22.5	13			24	18.5	15			33	24	9			23	16	83			61	72	20.25	28	2	3	6	2	1
488	disclosurehyp	4	0	0	0	1			11	17	14			12	21	16.5			16	9	12.5			18	13	15.5			90	88	89	14.625	33	1	5	8	4	1
489	controltrans	3	0	1	0	0			57	48	52.5			55	50	52.5			58	51	54.5			64	53	58.5			0	0	0	54.5	29	1	4	8	4	2
490	disclosurehyp	4	0	0	0	1		18	25		21.5		37	33		35		14	14		14		22	14		18		16	9		12.5	22.125	37	2	2	7	5	4
491	disclosurehyp	4	0	0	0	1			40	11	25.5			50	17	33.5			40	0	20			44	10	27			79	100	89.5	26.5	34	1	6	9	6	2
492	disclosurehyp	4	0	0	0	1	36	37			36.5	36	37			36.5	37	65			51	61	56			58.5	58	32			45	45.625	25	1	4	7	4	1
493	honesthyp	2	0	0	1	0	57	15			36	29	28			28.5	10	13			11.5	0	0			0	100	92			96	19	30	1	5	6	3	1
494	disclosurehyp	4	0	0	0	1	25	18			21.5	35	45			40	38	17			27.5	28	89			58.5	96	93			94.5	36.875	28	1	4	2	5	1
495	disclosurehyp	4	0	0	0	1	34			22	28	41			38	39.5	11			9	10	8			15	11.5	82			87	84.5	22.25	33	1	2	5	5	1
496	honesthyp	2	0	0	1	0	62	76			69	67	67			67	70	77			73.5	61	67			64	70	83			76.5	68.375	20	2	2	10	4	1
497	disclosurehyp	4	0	0	0	1	50			22	36	50			50	50	13			37	25	22			50	36	80			74	77	36.75	53	1	2	3	6	1
498	tradhyp	1	1	0	0	0	29	28			28.5	36	26			31	20	13			16.5	26	0			13	100	69			84.5	22.25	29	2	4	5	3	1
499	controltrans	3	0	1	0	0	42			41	41.5	41			50	45.5	42			43	42.5	41			39	40	42			48	45	42.375	38	2	5	6	5	2
500	disclosurehyp	4	0	0	0	1		22	42		32		22	47		34.5		42	50		46		42	46		44		81	60		70.5	39.125	25	1	5	3	4	1
501	controltrans	3	0	1	0	0	30	47			38.5	32	46			39	28	47			37.5	33	44			38.5	62	56			59	38.375	38	2	6	10	7	1
502	tradhyp	1	1	0	0	0			11	19	15			28	43	35.5			27	12	19.5			22	32	27			83	79	81	24.25	59	2	6	6	6	1
503	tradhyp	1	1	0	0	0		20	20		20		54	50		52		9	11		10		10	11		10.5		100	94		97	23.125	39	2	4	3	1	2
504	tradhyp	1	1	0	0	0	0			0	0	0			0	0	0			0	0	0			0	0	100			100	100	0	28	2	2	7	3	1
505	tradhyp	1	1	0	0	0	8	18			13	13	28			20.5	15	10			12.5	12	18			15	92	85			88.5	15.25	25	1	4	3	4	1
506	controltrans	3	0	1	0	0		46	17		31.5		34	19		26.5		26	31		28.5		16	13		14.5		72	71		71.5	25.25	28	2	2	1	5	1
507	controltrans	3	0	1	0	0		15	37		26		27	40		33.5		25	35		30		19	26		22.5		81	67		74	28	35	2	4	5	5	2
508	controltrans	3	0	1	0	0		23	21		22		50	13		31.5		52	0		26		16	11		13.5		69	80		74.5	23.25	25	1	5	6	4	2
509	disclosurehyp	4	0	0	0	1	0	31			15.5	14	23			18.5	2	22			12	4	65			34.5	100	86			93	20.125	30	1	5	4	4	3
510	tradhyp	1	1	0	0	0	11			25	18	9			24	16.5	8			24	16	11			24	17.5	97			84	90.5	17	47	1	4	5	3	1
511	tradhyp	1	1	0	0	0			0	0	0			45	34	39.5			0	0	0			0	0	0			100	100	100	9.875	23	1	4	2	1	1
512	controltrans	3	0	1	0	0	52	50			51	52	54			53	29	29			29	31	32			31.5	50	50			50	41.125	37	2	6	8	5	1
513	honesthyp	2	0	0	1	0	52			40	46	46			42	44	35			28	31.5	57			49	53	79			89	84	43.625	18	1	4	1	3	1
514	tradhyp	1	1	0	0	0			46	33	39.5			36	43	39.5			29	48	38.5			32	47	39.5			79	85	82	39.25	30	1	4	5	6	1
515	disclosurehyp	4	0	0	0	1	61	89			75	76	84			80	39	74			56.5	57	81			69	68	36			52	70.125	59	1	5	9	5	1
516	honesthyp	2	0	0	1	0		16	17		16.5		23	39		31		7	34		20.5		24	35		29.5		100	75		87.5	24.375	24	1	4	4	5	1
517	honesthyp	2	0	0	1	0		35	42		38.5		47	42		44.5		16	36		26		13	27		20		77	66		71.5	32.25	21	2	2	1	5	1
518	tradhyp	1	1	0	0	0		42	0		21		43	41		42		24	17		20.5		32	29		30.5		100	100		100	28.5	52	2	6	5	5	2
519	honesthyp	2	0	0	1	0	9			56	32.5	11			74	42.5	14			80	47	10			59	34.5	13			27	20	39.125	44	1	6	10	5	1
520	disclosurehyp	4	0	0	0	1	50	50			50	67	59			63	58	59			58.5	67	61			64	86	85			85.5	58.875	34	2	4	4	6	2
521	honesthyp	2	0	0	1	0	34	28			31	66	63			64.5	29	38			33.5	34	40			37	85	71			78	41.5	29	1	4	7	2	1
522	controltrans	3	0	1	0	0	35	19			27	41	33			37	36	25			30.5	24	26			25	59	78			68.5	29.875	25	2	6	2	4	2
523	controltrans	3	0	1	0	0	19	61			40	40	59			49.5	6	55			30.5	22	59			40.5	11	26			18.5	40.125	24	2	5	4	6	2
524	tradhyp	1	1	0	0	0	11			32	21.5	31			47	39	13			41	27	30			46	38	91			35	63	31.375	24	2	5	4	5	2
525	disclosurehyp	4	0	0	0	1		15	15		15		13	16		14.5		8	19		13.5		14	18		16		84	87		85.5	14.75	22	1	4	6	6	1
526	honesthyp	2	0	0	1	0	84	85			84.5	76	81			78.5	62	69			65.5	97	67			82	7	4			5.5	77.625	60	1	3	4	5	1
527	tradhyp	1	1	0	0	0		0	0		0		0	0		0		0	0		0		0	0		0		100	100		100	0	26	1	4	4	5	1
528	honesthyp	2	0	0	1	0		48	43		45.5		52	45		48.5		6	31		18.5		14	36		25		96	94		95	34.375	66	2	5	5	6	2
529	disclosurehyp	4	0	0	0	1	43	31			37	62	67			64.5	21	29			25	17	18			17.5	84	82			83	36	30	2	5	1	5	1
530	tradhyp	1	1	0	0	0		38	42		40		44	44		44		28	44		36		29	46		37.5		100	100		100	39.375	18	1	2	6	6	3
531	controltrans	3	0	1	0	0	40	47			43.5	52	50			51	38	44			41	44	37			40.5	0	54			27	44	26	2	4	7	5	2
532	controltrans	3	0	1	0	0	9			0	4.5	50			22	36	80			71	75.5	100			76	88	57			31	44	51	26	2	5	5	5	1
533	honesthyp	2	0	0	1	0			13	28	20.5			38	36	37			5	37	21			6	38	22			49	46	47.5	25.125	28	1	5	8	4	2
534	disclosurehyp	4	0	0	0	1		10	36		23		41	46		43.5		22	29		25.5		5	4		4.5		90	82		86	24.125	25	2	5	6	3	1
535	controltrans	3	0	1	0	0		22	14		18		35	23		29		40	21		30.5		34	9		21.5		30	80		55	24.75	28	1	2	6	4	1
536	honesthyp	2	0	0	1	0	25			24	24.5	24			16	20	12			20	16	23			20	21.5	24			34	29	20.5	33	2	2	6	4	1
537	controltrans	3	0	1	0	0	14			42	28	28			30	29	33			38	35.5	31			31	31	25			40	32.5	30.875	29	1	2	7	6	1
538	honesthyp	2	0	0	1	0		30	35		32.5		39	43		41		40	29		34.5		35	38		36.5		91	75		83	36.125	26	1	4	5	4	1
539	honesthyp	2	0	0	1	0	50	49			49.5	50	50			50	40	39			39.5	39	38			38.5	58	62			60	44.375	30	1	5	6	5	2
540	honesthyp	2	0	0	1	0		28	33		30.5		37	53		45		28	24		26		33	40		36.5		32	42		37	34.5	23	2	6	6	2	2
541	disclosurehyp	4	0	0	0	1			44	34	39			41	38	39.5			41	42	41.5			34	35	34.5			17	7	12	38.625	55	2	5	7	3	1
542	honesthyp	2	0	0	1	0	78	57			67.5	75	60			67.5	61	40			50.5	58	38			48	72	61			66.5	58.375	28	2	5	4	6	3
543	honesthyp	2	0	0	1	0	28			46	37	37			50	43.5	17			18	17.5	11			8	9.5	100			100	100	26.875	43	2	2	5	5	1
544	tradhyp	1	1	0	0	0		24	2		13		26	13		19.5		18	1		9.5		16	0		8		100	100		100	12.5	24	2	2	4	2	1
545	disclosurehyp	4	0	0	0	1	58			35	46.5	36			40	38	42			35	38.5	35			39	37	30			83	56.5	40	31	1	4	4	4	1
546	tradhyp	1	1	0	0	0	35			48	41.5	19			50	34.5	11			33	22	12			39	25.5	87			81	84	30.875	68	2	5	6	1	1
547	tradhyp	1	1	0	0	0	24	7			15.5	36	17			26.5	32	30			31	13	24			18.5	91	89			90	22.875	20	1	4	2	5	2
548	disclosurehyp	4	0	0	0	1			22	63	42.5			92	67	79.5			63	63	63			79	70	74.5			69	85	77	64.875	29	2	5	3	5	3
549	honesthyp	2	0	0	1	0		43	15		29		42	55		48.5		65	40		52.5		38	23		30.5		67	80		73.5	40.125	38	1	4	6	5	1
550	honesthyp	2	0	0	1	0			0	38	19			44	16	30			20	12	16			85	70	77.5			64	59	61.5	35.625	42	1	6	7	4	1
551	honesthyp	2	0	0	1	0		39	52		45.5		49	51		50		44	50		47		45	45		45		52	83		67.5	46.875	28	2	5	7	5	2
552	honesthyp	2	0	0	1	0	38			31	34.5	57			56	56.5	37			38	37.5	40			38	39	31			69	50	41.875	23	2	5	2	5	2
553	honesthyp	2	0	0	1	0		35	28		31.5		28	22		25		37	34		35.5		27	8		17.5		77	85		81	27.375	31	2	2	5	2	1
554	disclosurehyp	4	0	0	0	1	33			24	28.5	28			35	31.5	20			27	23.5	26			32	29	81			75	78	28.125	32	1	6	10	6	4
555	honesthyp	2	0	0	1	0		31	25		28		50	50		50		51	50		50.5		72	50		61		56	54		55	47.375	31	2	5	6	4	3
556	controltrans	3	0	1	0	0	58			21	39.5	34			62	48	34			31	32.5	60			65	62.5	34			66	50	45.625	20	1	2	1	3	3
557	controltrans	3	0	1	0	0	50			50	50	50			51	50.5	50			50	50	41			43	42	50			50	50	48.125	19	2	2	1	5	2
558	disclosurehyp	4	0	0	0	1	39	39			39	49	41			45	41	56			48.5	22	76			49	28	24			26	45.375	26	1	6	8	6	2
559	tradhyp	1	1	0	0	0	4			10	7	18			24	21	7			6	6.5	2			2	2	97			94	95.5	9.125	35	2	6	4	3	1
560	honesthyp	2	0	0	1	0			10	23	16.5			14	25	19.5			15	12	13.5			10	7	8.5			91	84	87.5	14.5	63	1	6	8	5	3
561	honesthyp	2	0	0	1	0	24			0	12	50			0	25	79			0	39.5	100			0	50	100			100	100	31.625	52	1	1	2	5	1
562	honesthyp	2	0	0	1	0	50			21	35.5	19			31	25	23			16	19.5	17			23	20	100			100	100	25	19	2	4	4	4	1
563	disclosurehyp	4	0	0	0	1		50	17		33.5		50	33		41.5		49	15		32		29	20		24.5		44	84		64	32.875	30	2	4	5	3	3
564	controltrans	3	0	1	0	0	60	61			60.5	58	69			63.5	60	60			60	61	76			68.5	73	76			74.5	63.125	35	1	5	7	5	3
565	controltrans	3	0	1	0	0	26			100	63	24			75	49.5	24			72	48	23			71	47	81			25	53	51.875	38	1	4	3	5	1
566	tradhyp	1	1	0	0	0	39	41			40	39	33			36	42	30			36	30	12			21	71	84			77.5	33.25	31	1	4	4	5	2
567	honesthyp	2	0	0	1	0	31	4			17.5	39	14			26.5	20	7			13.5	55	3			29	76	95			85.5	21.625	52	2	5	3	6	1
568	tradhyp	1	1	0	0	0		24	39		31.5		37	36		36.5		27	39		33		17	20		18.5		87	81		84	29.875	25	1	2	6	5	2
569	honesthyp	2	0	0	1	0			77	38	57.5			78	44	61			71	40	55.5			67	43	55			66	62	64	57.25	32	2	4	4	5	2
570	disclosurehyp	4	0	0	0	1		36	33		34.5		66	41		53.5		42	34		38		22	66		44		70	33		51.5	42.5	20	1	4	4	3	3
571	tradhyp	1	1	0	0	0	15			22	18.5	35			40	37.5	32			59	45.5	26			10	18	83			84	83.5	29.875	33	1	4	5	6	2
572	honesthyp	2	0	0	1	0		42	60		51		69	65		67		72	57		64.5		70	83		76.5		60	71		65.5	64.75	24	1	2	3	7	1
573	tradhyp	1	1	0	0	0	60			18	39	22			18	20	40			5	22.5	42			12	27	5			4	4.5	27.125	21	2	4	4	4	2
