id	condition	cond2	tradhyp	controltrans	honesthyp	disclosurehyp	likemu_1	likejd_1	likepc_1	likepd_1	like	goodmu_1	goodjd_1	goodpc_1	goodpd_1	good	trustmu_1	trustjd_1	trustpc_1	trustpd_1	trust	honestmu_1	honestjd_1	honestpc_1	honestpd_1	honest	hypmu_1	hypjd_1	hyppc_1	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
73	controltrans	3	0	1	0	0	67	66			66.5	84	80			82	64	67			65.5	64	68			66	52	59			55.5	70	50	1	4	3	5	1
74	controltrans	3	0	1	0	0		47	50		48.5		46	50		48		42	33		37.5		50	53		51.5		50	35		42.5	46.375	22	1	5	3	3	2
75	honesthyp	2	0	0	1	0	47	54			50.5	57	57			57	37	51			44	39	43			41	72	69			70.5	48.125	27	2	5	6	5	1
76	disclosurehyp	4	0	0	0	1	17			47	32	37			53	45	36			44	40	26			40	33	68			58	63	37.5	36	2	5	6	6	3
77	honesthyp	2	0	0	1	0		47	50		48.5		50	51		50.5		48	50		49		40	51		45.5		61	50		55.5	48.375	20	2	4	2	4	3
78	tradhyp	1	1	0	0	0			21	43	32			32	42	37			5	40	22.5			7	34	20.5			100	90	95	28	29	2	4	5	4	1
79	tradhyp	1	1	0	0	0	32			50	41	28			50	39	27			35	31	17			43	30	82			21	51.5	35.25	26	1	4	4	1	1
80	disclosurehyp	4	0	0	0	1			5	0	2.5			0	0	0			2	0	1			0	0	0			99	100	99.5	0.875	32	1	4	8	6	3
81	honesthyp	2	0	0	1	0	40	35			37.5	32	29			30.5	36	2			19	37	12			24.5	75	100			87.5	27.875	36	2	5	7	5	2
82	disclosurehyp	4	0	0	0	1	0			0	0	0			0	0	0			0	0	0			0	0	100			100	100	0	26	2	3	1	5	1
83	controltrans	3	0	1	0	0			24	48	36			38	50	44			38	69	53.5			35	53	44			80	25	52.5	44.375	53	2	4	4	6	2
84	honesthyp	2	0	0	1	0			55	54	54.5			66	65	65.5			74	72	73			69	66	67.5			42	55	48.5	65.125	26	2	5	8	5	2
85	disclosurehyp	4	0	0	0	1	16	11			13.5	21	24			22.5	28	32			30	70	30			50	81	79			80	29	20	1	4	1	5	2
86	disclosurehyp	4	0	0	0	1			0	8	4			11	20	15.5			8	8	8			0	17	8.5			100	88	94	9	22	1	2	2	5	2
87	disclosurehyp	4	0	0	0	1		27	1		14		29	0		14.5		4	0		2		10	4		7		99	100		99.5	9.375	42	2	2	3	5	1
